DEPARTAMENTO,PROVINCIA,DISTRITO,ANIO,MES,TIPO_PRUEBA,CANTIDAD_PRUEBAS,Departamento_idx,Provincia_idx,Distrito_idx,TipoPrueba_idx,prediction
AMAZONAS,BAGUA,BAGUA,2021,5,PR,14,14.0,57.0,135.0,0.0,72.34044649545103
AMAZONAS,BAGUA,BAGUA,2021,5,AG,268,14.0,57.0,135.0,1.0,77.56860861928726
AMAZONAS,BAGUA,BAGUA,2021,6,AG,137,14.0,57.0,135.0,1.0,70.9068679632619
AMAZONAS,BAGUA,BAGUA,2021,6,PR,16,14.0,57.0,135.0,0.0,65.67870583942567
AMAZONAS,BAGUA,BAGUA,2021,6,PCR,1,14.0,57.0,135.0,2.0,76.13503008709813
AMAZONAS,BAGUA,BAGUA,2021,7,PR,5,14.0,57.0,135.0,0.0,59.016965183400316
AMAZONAS,BAGUA,BAGUA,2021,7,AG,68,14.0,57.0,135.0,1.0,64.24512730723654
AMAZONAS,BAGUA,BAGUA,2021,8,PCR,2,14.0,57.0,135.0,2.0,62.811548775061965
AMAZONAS,BAGUA,BAGUA,2021,8,PR,13,14.0,57.0,135.0,0.0,52.35522452738951
AMAZONAS,BAGUA,BAGUA,2021,8,AG,22,14.0,57.0,135.0,1.0,57.58338665122574
AMAZONAS,BAGUA,BAGUA,2021,9,AG,26,14.0,57.0,135.0,1.0,50.92164599520038
AMAZONAS,BAGUA,BAGUA,2021,9,PR,8,14.0,57.0,135.0,0.0,45.69348387136415
AMAZONAS,BAGUA,BAGUA,2021,9,PCR,36,14.0,57.0,135.0,2.0,56.14980811903661
AMAZONAS,BAGUA,BAGUA,2021,10,AG,35,14.0,57.0,135.0,1.0,44.25990533917502
AMAZONAS,BAGUA,BAGUA,2021,10,PCR,66,14.0,57.0,135.0,2.0,49.48806746301125
AMAZONAS,BAGUA,BAGUA,2021,11,PCR,69,14.0,57.0,135.0,2.0,42.82632680700044
AMAZONAS,BAGUA,BAGUA,2021,11,AG,47,14.0,57.0,135.0,1.0,37.598164683164214
AMAZONAS,BAGUA,BAGUA,2021,11,PR,1,14.0,57.0,135.0,0.0,32.370002559327986
AMAZONAS,BAGUA,BAGUA,2021,12,AG,98,14.0,57.0,135.0,1.0,30.936424027138855
